gene_name,IBD7_fpkm,IBD7_1_fpkm,IBD8_fpkm,IBD8_1_fpkm,IBD10_fpkm,IBD10_1_fpkm,hCO_wo_Tc_fpkm,hCO_wo_Tc_1_fpkm
CD52,17.95859782,17.07631198,13.73069594,24.71933325,23.77143885,27.18565471,0.06027036,0
MMP25,0.753634987,0.887410711,0.918644188,0.85449522,0.705867938,0.644872267,0.109263765,0.084323556
CAPG,4.532448114,3.154304322,2.298105227,3.205634768,3.547442522,3.691585713,1.145645456,0.778491548
SP110,1.22708123,1.127906823,1.059720378,1.188815811,2.456129278,2.226528656,0.320139649,0.295634008
IL2RB,3.560585667,3.231072614,2.484393448,4.000734497,6.544499774,5.360029987,0.011989955,0
CDH6,2.94578969,2.589284366,2.503843973,2.552730104,2.06377461,2.858245449,1.388448178,0.754166438
BHLHE40,24.50349516,18.77212778,19.48585757,30.71358475,32.14572982,30.36397587,10.73596226,11.69704202
PRPH,16.78036614,11.81724419,16.81087617,21.32828967,72.22309104,44.50372921,1.28162782,0.626089008
ABI3BP,0.303847993,0.858421292,0.217183209,0.368734322,0.791231409,0.649759122,0.051332471,0.02641032
SH2D2A,1.823026451,1.720429641,1.435877012,1.975327266,4.556235956,3.966414518,0.269201211,0.277005568
SAMD9L,0.824075396,1.076812398,1.045323513,1.162130354,3.301298326,2.58659652,0.07898078,0.024381149
PSTPIP1,0.632680466,0.953826182,0.574673263,0.99366696,1.92120603,1.54579441,0,0.103825423
CD5,5.213067048,3.410235884,4.422318953,8.858002803,6.297636734,6.362428459,0,0.018002639
GBP4,2.583674133,1.116814454,1.197342041,1.459882115,6.104372461,5.516092206,0,0
SLFN5,1.446535947,2.05142773,1.535635797,1.914369783,2.767304178,2.574453838,0.336780125,0.785137954
